"","negFreq","emptyFreq","posFreq","mixFreq","neuFreq","ope","con","ext","agr","neu","swl","CESD_sum"
"negFreq",1,-0.791094872963538,-0.0313204305440944,0.312257049619588,-0.113754754506084,-0.150478669100823,0.0129994011479269,-0.182471082100646,-0.264219478429866,0.19009860791087,-0.121561989736694,0.141877250897245
"emptyFreq",-0.791094872963538,1,-0.530022038062859,-0.447291939686878,-0.0315836668027112,0.169295406609675,0.00183518105483439,0.0362392965408604,0.13658647262678,-0.167099289024012,0.0425897010079212,-0.0918412886118818
"posFreq",-0.0313204305440944,-0.530022038062859,1,0.24101728614671,-0.204810736068504,-0.0684302795910845,0.0286556712524828,0.287400281212715,0.187867179539401,0.0089885590011609,0.078168605179483,-0.0415813741226784
"mixFreq",0.312257049619588,-0.447291939686878,0.24101728614671,1,-0.136141354412064,0.0428512011862052,0.0718010174663137,-0.0865569756586091,0.0966772606675298,0.0871015964474534,-0.0146274880140037,0.0291890554172553
"neuFreq",-0.113754754506084,-0.0315836668027112,-0.204810736068504,-0.136141354412064,1,-0.0421980245635426,-0.138582123849004,-0.192543938587306,-0.159836258375097,-5.35404014711224e-05,0.0447092525204724,-0.00552915570113233
"ope",-0.150478669100823,0.169295406609675,-0.0684302795910845,0.0428512011862052,-0.0421980245635426,1,-0.0758141794571877,0.305310682717506,0.0176261958655503,-0.209973247101664,-0.0783700841683109,-0.227366571429183
"con",0.0129994011479269,0.00183518105483439,0.0286556712524828,0.0718010174663137,-0.138582123849004,-0.0758141794571877,1,0.184559079596992,0.151372176105826,-0.367603852423284,0.401754650854333,-0.402877023014618
"ext",-0.182471082100646,0.0362392965408604,0.287400281212715,-0.0865569756586091,-0.192543938587306,0.305310682717506,0.184559079596992,1,0.182808237537609,-0.345979860947851,0.204758737613381,-0.351483395517786
"agr",-0.264219478429866,0.13658647262678,0.187867179539401,0.0966772606675298,-0.159836258375097,0.0176261958655503,0.151372176105826,0.182808237537609,1,-0.277535027182981,0.246161800593199,-0.193153632393964
"neu",0.19009860791087,-0.167099289024012,0.0089885590011609,0.0871015964474534,-5.35404014711224e-05,-0.209973247101664,-0.367603852423284,-0.345979860947851,-0.277535027182981,1,-0.402644987766672,0.614550280556052
"swl",-0.121561989736694,0.0425897010079212,0.078168605179483,-0.0146274880140037,0.0447092525204724,-0.0783700841683109,0.401754650854333,0.204758737613381,0.246161800593199,-0.402644987766672,1,-0.462403191605134
"CESD_sum",0.141877250897245,-0.0918412886118818,-0.0415813741226784,0.0291890554172553,-0.00552915570113233,-0.227366571429183,-0.402877023014618,-0.351483395517786,-0.193153632393964,0.614550280556052,-0.462403191605134,1
