,emptyTran,lyricsTran,lyricsEmpty,Original,LyricsOriginal,OriginalEmpty,preValence,allTrans,ope,con,ext,agr,neu,swl,CESD_sum
emptyTran,1.0,-0.055757520489136125,0.2871843550563387,-0.8430942884164923,-0.3273786859220718,0.35487569510011824,-0.21194697240336907,,0.09149440641355722,-0.05438708923853621,0.0560699602027332,0.15068778851761186,-0.07599121252733271,0.0430987485485913,-0.05680115339555384
lyricsTran,-0.055757520489136125,1.0,0.31007707147123564,-0.09460700044221475,0.5041976169779334,-0.18141813019840203,0.0637254928739475,,-0.24732699556476972,-0.09704132470207885,-0.09473151260816375,-0.0699972422192465,0.24862476296423816,-0.09384457911814224,0.26356567648076695
lyricsEmpty,0.2871843550563387,0.31007707147123564,1.0,-0.42622899159220157,0.13211925969258462,0.0927287931945715,-0.06887670233267296,,0.08742096743711765,-0.08925369621626773,0.06870771815020647,-0.017715397514319334,-0.009917807938662692,-0.06945975760920087,0.08300847980368868
Original,-0.8430942884164923,-0.09460700044221475,-0.42622899159220157,1.0,0.09436318098837482,-0.6994893789492245,0.07722410865742743,,-0.11334930715420381,0.021139315053954905,-0.08277168431530775,-0.14444079282832326,0.1393528131691562,-0.052316545845462956,0.03947289876898229
LyricsOriginal,-0.3273786859220718,0.5041976169779334,0.13211925969258462,0.09436318098837482,1.0,-0.30332048864643474,0.06786065266896085,,-0.12909334480368276,-0.08779233209938833,-0.02983167448749159,-0.21512366923981177,0.18027282017466528,-0.2016046648756446,0.2663868287818323
OriginalEmpty,0.35487569510011824,-0.18141813019840203,0.0927287931945715,-0.6994893789492245,-0.30332048864643474,1.0,0.017724473877835135,,0.165134300802325,0.10253068041035308,0.08405743784269097,0.18792787709753514,-0.2769562015980847,0.15719293697217343,-0.19453288677421376
preValence,-0.21194697240336907,0.0637254928739475,-0.06887670233267296,0.07722410865742743,0.06786065266896085,0.017724473877835135,1.0,,-0.02689279844455647,0.06747251998383755,0.06892324720635022,-0.031024633061788338,-0.001033885609943187,0.07571972467065285,0.17974055476460218
allTrans,,,,,,,,,,,,,,,
ope,0.09149440641355722,-0.24732699556476972,0.08742096743711765,-0.11334930715420381,-0.12909334480368276,0.165134300802325,-0.02689279844455647,,1.0,-0.08561975776733739,0.2940091893041044,0.037678859094503726,-0.19309013981031098,-0.06982202331515071,-0.19616926020013933
con,-0.05438708923853621,-0.09704132470207885,-0.08925369621626773,0.021139315053954905,-0.08779233209938833,0.10253068041035308,0.06747251998383755,,-0.08561975776733739,1.0,0.18750293290496814,0.14791480527838802,-0.3618951315750229,0.4097620139982851,-0.39302728114012425
ext,0.0560699602027332,-0.09473151260816375,0.06870771815020647,-0.08277168431530775,-0.02983167448749159,0.08405743784269097,0.06892324720635022,,0.2940091893041044,0.18750293290496814,1.0,0.22441234542575833,-0.3378899802749836,0.2099759061215008,-0.34236559774747544
agr,0.15068778851761186,-0.0699972422192465,-0.017715397514319334,-0.14444079282832326,-0.21512366923981177,0.18792787709753514,-0.031024633061788338,,0.037678859094503726,0.14791480527838802,0.22441234542575833,1.0,-0.28776066707561776,0.23352435856144396,-0.20886467861119706
neu,-0.07599121252733271,0.24862476296423816,-0.009917807938662692,0.1393528131691562,0.18027282017466528,-0.2769562015980847,-0.001033885609943187,,-0.19309013981031098,-0.3618951315750229,-0.3378899802749836,-0.28776066707561776,1.0,-0.4062824694454472,0.604650870695537
swl,0.0430987485485913,-0.09384457911814224,-0.06945975760920087,-0.052316545845462956,-0.2016046648756446,0.15719293697217343,0.07571972467065285,,-0.06982202331515071,0.4097620139982851,0.2099759061215008,0.23352435856144396,-0.4062824694454472,1.0,-0.48102262106941485
CESD_sum,-0.05680115339555384,0.26356567648076695,0.08300847980368868,0.03947289876898229,0.2663868287818323,-0.19453288677421376,0.17974055476460218,,-0.19616926020013933,-0.39302728114012425,-0.34236559774747544,-0.20886467861119706,0.604650870695537,-0.48102262106941485,1.0
